"caseids","content"
3618410,"苏书记您好！我们是江西省九江市庐山区慧龙新城路北小区150户居民，2007年我们按揭买的住宅房，购房前原本有一条双向通行的铁道，2009年4月因又修建城际列车从小区内横架了两条高铁轨道，轨道离住宅房距离不足10米，占用了小区大部分绿化面积，当初开工修建时，庐山区政府承诺：“1、通车后即便办理占用面积补偿事宜；2、恢复小区内绿化，且恢复程度会比以前更好”还签订有协议书，为支持、响应国家建设，居民接受了政府部门提出的方案，可时至今日通车已近一年了，不见政府有兑现诺言的迹象。现在的小区内环境是一片废墟、但见晴天灰尘弥漫、雨天泥水漫流、加之列车来回穿梭的噪音，百姓苦不堪言，多次找过区政府、九江市相关部门，都是一拖再拖，官腔套话，就是不见结果。如今我们居民得知了为什么政府部门迟迟没能兑现承诺的原因，就是小区在规划兴建时涉及多起违规现象，包括城市小区规划设计和土地使用批准，存有严重欺骗行为，我们老百姓如今只想有个起码的居住环境。这样久拖下去只能是坏了党的形象伤了人民的心，今后让怎么相信政府的话语和承诺！都说群众利益无小事、构建和谐社会的稳定、维护群众的合法权益、全心全意为民服务的宗旨为什么在下面执行就变味了呢！请苏书记您如能看到这封信后百忙之中能过问一下此事。谢谢！"
3618411,"我是赣州寻乌县水源乡径口村村民，我们这里上游有人非法开采稀土。搞的我们下游水受到严重污染，我们多次向我们县一级部门反映。而他们来啦只是做个样子，没有阻止他们开采。而现在我们下游果园也受到严重污染，希望你们看到能管管"
3618412,"苏书记你好；我是江西省上饶市铅山县河口镇虞家村烈桥村小组村民，我有一事向书记反映，我们县里把我们的良田征用了，卖给开发商，但他们说是建设用地，土管部门又没有让我们听证又没有公告，就是按老规矩办，量完我们的田就按三万七千六百一亩算就是，又没有给我们说补偿是多少安置是多少，就是什么都在内，更别说以后生活的保障了，买社保都是在这三万七千六百里面的，我们卖田的钱买我一个人的社保都不够，社保还要到我们六十岁以后才有的吃呢，那我们目前吃什么呢，更何况我们现在有父母和子女要抚养，本来我就是有一个人的田，都不到0.3亩老婆和子女都没有田的，以前我一个人吃还可以，现在加了人但田仍然没有加，何况现在政府要把我们仅有的一点田都征用了，我们农民靠的就是这点田生存，何况现在国家对我们农民的政策很好，不但不要我们农民交公用粮，还给我们农民补贴，下面的政府就知道把我们农民的良田征去搞开发，给我们的补偿安置就那么一点点，你们有没有看过村书记和村主任上任三四年就有私人小轿车，我们农民就可以不用吃了吗，希望有关部门给我们农民做主，让我们农民能够享有国家的政策。"
3618414,"尊敬的领导您好：我是江西省，九江市，湖口县，凰村乡，花园村的一位普通不再普通的村民，听说危房改造国家还可以补贴10000元，虽然我不知道有这个优惠政策，我在今年的5月号拆危房重建，在建的过程当中凰村乡政府不让我们在自己的老宅上建，要建就的罚款，没办法我一个普通的老百姓无奈只得交了3000元，房子做到一半说又不能建，又要罚2000千经过讨价还价最后罚了800走人。我不知道国家是什么政策，还是当地的政府腐败。希望尊敬的领导给我们老百姓一个安稳的日子。谢谢。"
3618415,"尊敬的省委书记：您好！我是江西省九江县狮子镇龙岗村16组的一普通农民，近日九江县双瑞路改造工程征收，以每亩补偿30300元和600元的青苗费，征收了我一家四口赖以生存的仅有的0.93亩田地，我夫妻都是在家务农，经济也很拮据，根本无法实行征收田地后农村养老保险补交政策。因为这次征收只是片区性，所以没有极大的优惠补偿于民，像我家这种情况仅有的田地全部征收也是屈指可数的，乡村领导也是鱼目混珠，不为民设想不给民保障，我向村支部申请农村最低生活保障，被村领导一口回绝还声称给我低保大门封死。此时我真的觉得生活无望，万般无奈的情况下，诚恳求书记作为老百姓的父母官在日理万机百忙中，抽取点时间为老百姓主持公道，让我燃起生活的希望，能给我一家四口最低的生活保障！谢谢！！"
3618420,"苏书记你好；我是江西省上饶市铅山县河口镇虞家村烈桥村小组村民，我有一事向书记反映，我们县里把我们的良田征用了，卖给开发商，但他们说是建设用地，土管部门又没有让我们听证又没有公告，就是按老规矩办，量完我们的田就按三万七千六百一亩算就是，又没有给我们说补偿是多少安置是多少，就是什么都在内，更别说以后生活的保障了，买社保都是在这三万七千六百里面的，我们卖田的钱买我一个人的社保都不够，社保还要到我们六十岁以后才有的吃呢，那我们目前吃什么呢，更何况我们现在有父母和子女要抚养，本来我就是有一个人的田，都不到0.3亩老婆和子女都没有田的，以前我一个人吃还可以，现在加了人但田仍然没有加，何况现在政府要把我们仅有的一点田都征用了，我们农民靠的就是这点田生存，何况现在国家对我们农民的政策很好，不但不要我们农民交公用粮，还给我们农民粮食补贴，下面的政府就知道把我们农民的良田征去搞开发，给我们的补偿安置就那么一点点，你们有没有看过村书记和村主任上任三四年就有私人小轿车，我们农民就可以不用吃了吗，希望苏书记和有关部门给我们农民做主，让我们农民能够享有国家的政策。"
3618421,"江西省于都县是百万人口大县，公办小学平均每个班级都有80来号人，而私立小学却生源不足。于都公办中学也仅有两所，一中为高中教学二中为初中教学，因此一些进入中学的孩子基本被民办了。为达到小学生也被民办化目的于都教育局设置障碍规定2011年新入学新生有户口没准生证没出生证也不得在公立学校报名入学。我今天认真的阅读了一下我国的《教育法》，《教育法》并没有条款这样规定。因此，我觉得于都县政府教育部门是在违反国家法律规定，并且非法设置障碍剥夺孩子们的义务教育权。"
3618423,"书记您好,我是一名下岗职工，现在单位在改制把我们这么多职工解除劳动合同关系又不给失业救济金，生活费也没有，现在子女要读书却没有钱，现我把职工身份置换协议发给您看；B协议：一．乙方自愿进行职工身份置换，并与甲方于2011年6月30曰解除劳动合同关系，不在保持乙方原有职工身份。二；经济补偿标准；基数4000元加330元乘以工龄年。三；乙方自愿不领取身份置换补偿金，交由甲方为其代缴后续基本养老保险费，代缴具体事宜，甲，乙双方另签订基本养老保险费代缴补充协议予以明确。四；甲乙双方的债权，债务经大茅山集团有限责任公司改制领导小组审核批准后另行结清。补充协议一；乙方与原企业解除劳动关系之后，自愿不领取一次安置补偿金，乙方的后续基本养老保险费由甲方按灵活就业人员缴交办法代乙方连续缴交至其法定退休年龄止，不足部分由甲方负责缴交，乙方个人不在交纳。二；乙方按灵活就业人员参保，缴费基数与在职职工缴费基数相同，其今后退休的养老金待遇与在职职工养老金待遇一致。三；本补充协议是[职工身份置换协议B]分割的一部分，具有同等法律协议。但签此协议是被迫的，望书记给予解决！！！！！！"
3618427,"市委书记你好！在信丰的各个乡镇都有很多的黑网吧和游戏机室，而且都是明目张胆的开，都是一些学生在沉迷网络和游戏，地方政府和县里都不闻不问，希望你们省委政府能派人来调查治理！在此我代表百姓的子女谢谢你！"
3618433,"尊敬的书记省长您好！国家不是早就实施了九年义务教育吗？我们余干太腐败啊？像别的城市九年义务教育的学费，每学期只要十几元学费，我是余干的老百姓，像我们余干黄金埠“一年级到初中”还要“一百多元到几百元”不等的学费？每学期收了学费还不打收条？每个学期上下年海的交五十元不等保险？这是叫国家实施的九年义务教育吗？暑假又快到了？每年到暑假小学三年级到初中还要实施补课？补课收钱还不写收条？这叫什么？每个暑假补课还的叫一百元到几百元不等？你们上级领导可以到我们那里“明查暗访”问问我们那里的老百姓和学生？每个学期到报名的时候去我们那里“明查暗访”吧？请你们上级领导查查这些都到那里去了？这样我们那里的老百姓负担太重了？？"
3618436,"现在还有烂泥路，要怎么才能发展？俗话说得好：有好路才能发展，没好路的话就连发展的入口都没有，没路口谁又知道里面有什么，谁又会去投资呢？就在江西省宜春市袁州区芦村镇韩塘村上电---奉公组的这一段路，简直就是民国时期的，不!在我看来比民国时期的还不如呢!请看到后，马上会复！只有对网站的信息回复后才能把这个网站办得越来越好啊!只有这样，人们才会关注这个网站纳!您才能跟加的了解个个地方的民情纳！我希望您能真真正正的去调查和管理大家修去此路!"
3618448,"尊敬的书记.你好：我是上饶横峰县龙门乡的农民，前提是我没有违法，都是买别人的旧地基造的，04年的建的房屋到目前还没有拿到土地使用证，也就是农村所说的地基表，他们一直拖，请问这是什么原因？"
3618449,"苏书记:我是分宜一中的初二学生家长,5月29日参加页せ崾�,班主任通知我们交290元星期六补课费,平时还收了200多元其它费用,从初一到现在,每个学期都补课收费.义务教育不能补考,更不能有偿补课,但分宜一中无视法律法规,请苏书记明察."
3618450,"江西省抚州市黎川县折迁办某些人员，对县城下马路改造折迁，肆意破坏政府公信力，在2011年3月底下发了和张贴一份关于折迁补偿方案，仅一个月又下发了一份折迁方案，歪曲和篡改某群众意见，并以某群众意见为政策依据，不听取广大群众意见，随意推翻前一个折迁补偿方案，任意降低赔偿标准，歪曲和篡改房改政策，严重破坏党的政策和政府公信力，人为制造矛盾，激发群众之间矛盾，激发事端，惟恐天下不乱，使政府棚户区改造，旧城改造，保障性用户等惠民政策和项目不能顺利进行。其危害在于：一、以政府折迁部门下发的折迁补偿方案，朝令夕改，肆意破坏政府公信力，制造群众与党和政府之间矛盾，激发事端。二、以某群众意见为政策依据，不听取广大群众意见，随意推翻前一个折迁补偿方案，任意降低赔偿标准，更不能歪曲和篡改某群众意见，制造群众之间矛盾，激发事端，惟恐天下不乱。三、歪曲和篡改房改政策，房改房是党和政府给广大职工的惠民政策，房改房属私人房产是党和囯家政策。黎川县折迁办某人员，以某群众意见为借口，说房改房不属私人房产，人为制造矛盾和问题，以言代法。四、黎川县折迁办某男，既不深入广大折迁户，宣传党和国家政策，听取群众意见，摆祖师爷架式，态度粗暴，以势压人，欲所欲为，党和政府的威信就败在他的手上，更危险的肆意制造群众与党和政府之间的矛盾。"
3618453,"我们国家有反贪污贿赂局、有检察院、现在又设了个什么反贪腐局？重复设置机构不说，还浪费过家资源，我们老百姓真想不通，贪腐还是无处不在！！！我们江西能否走在全国前面，将反贪机构合并，增加群众监督力度，具体办法要看贪腐发生在哪一领域而专门制定。"
3618454,"苏书记：您好，在您百忙之中，打扰您，请见谅。我是樟树市刘公庙镇雌溪村委肖家村民，我想反映的是我们村对林业改革的做法问题。我村书记肖美儿欺下瞒上，给每家都发了一本林业改革后的山地划分使用证。他开会要求我们这样说：“如果上面来查就说已经按村民的意愿分了山。”，但实际上没有分山。我们想如果能把山分下来，就好自己谋求发展，可是肖美儿却把山留着自己用，经常把树砍了拿去卖。希望苏书记您能把这个事情叫相关部门去处理一下吗？再这里先谢谢您了！"
3618458,"尊敬的苏书记：您好！我是江西省景德镇市昌江区丽阳乡丰田大队福建村民，我举报景德镇市昌江区丽阳乡丰田村委会强行征用农民承包责任田，其违法事项有如下：一，村委会无理的扣压了我家土地承包经营权证。二，采用暴力威胁强占，单方面强行要求征用农民的承包责任田，不发放征地补偿，以次田换好田和伪造征地协议。三，用强行征用来的土地盖村委会的办公大楼和商业店面，建此办公大楼也未召开村民会议。因丰田村委会违反了《中华人民共和国农村土地承包法》，采用野蛮的暴力强行征用，以次换好、以远田换近田，不便于耕种，多次向乡政府领导反映，但未得到解决，恳请苏书记您能安排人员进行明查，以求对此地恢复耕种，谢谢"
3618459,"我是江西新干县城上乡人，我想反映的是我们乡里计划生育的暴力问题。去年人口普查的时候我们村有32个超生户，没有交清钱的都没有上到户口。过年的时候乡里面20多个人拿着铁锤铁棍浩浩荡荡到超生户家里去闹。实在交不出钱的，就打人家房子，打家具。般人家电视，最可恨的是把人家烧饭的锅又打了，弄的家里都过不了年。乡长还说你们尽管去告我，我敢打你的东西就不怕你告我。今年5月多的时候乡里的人又天天打电话来叫我老婆回去做绝育手术，说这个星期不回去就打房子，我们在浙江务工加上我老婆身体又不好实在没有办法回去。希望有关部门好好管管，谢谢！"
3618471,"尊敬的苏书记，您好：我是江西省贵溪市擂鼓岭小区的一名业主，特在这向你反映一件事：这儿有条麻将街，十多个店面全是麻将馆，一天到晚打麻将的人络绎不绝。那些店主为了抢麻友顾客而时不时的争吵不休，那些打麻将的赌客也常因各事吵闹不休。那条街都停满了车子，又严重影响了交通，而且有那么几个麻将馆常打个通宵，严重影响到附件居民的休息。此事也通过本地的民生通道向上级部门反映过，但就是没人管理。希望在领导的关心下能得到治理而让我们附件居民得到安宁的生活环境。谢谢。"
3618474,"儿子已经毕业五年了，原来一至在外地打工，后来因为我们年龄大了，就想着要儿子回到南昌工作，但回到南昌后儿子工作就业遇难到很多因难，可我们江西讲究人际关系网，没有背景的人很难找到自己可恰的工作，招聘单位条件都是为自已利害的关系人规定的，招聘单位的名额都是为自己，就是符合条件，在报名时就会被无理拒绝，这已经不是一次了，我做过很多次，做过一些调查都是实实在在的，我不知道路领导能不能看到这一条，抱着试试看，现在考公务员都要求本科以上，这是给大家一个公平的机会吗，平等吗?"
3618477,"我是信丰县一个高三学生的家长,家住信丰县城,今年6月7、8日两天，小孩就要参加高考了。这是决定小孩一生的未来。家长都希望有一个好的生活、考试环境。我家周围有两个歌厅，每天晚上唱到1点钟，歌厅的窗户又不关，走调的声音传出来，实在烦人，让人睡不着。影响小孩的学习，以前也反映到县长信箱里，可是没有什么效果，让我忍到现在。今天为了小孩的未来，我不得不向人民网反映，相信你们的监督有效。请这些歌厅在6月6、7、8日这3天不要营业。给考生一个好的环境。也算是积了一点德，为考生做了一点贡献。时间紧，请你们赶快监督吧！"
3618482,"昨天路过南昌市第二人民医院时看到有人打着各种白色横幅在医院门口聚众闹事，不仅严重影响了医院正常的工作秩序，也严重影响了交通及南昌仍至江西的公众形象。我们的立法部门是否应当就此类事件制定出相应的法律？司法部门是否应当及时地加以制止？打扰了。"
3618489,"江西省委苏荣书记你好：每次看到南昌市进贤县县城的卫生及乱建和乱搭问题，总是想起老上海和垃圾城市（印度）这种称呼，10年前的进贤和现在的进贤没有多大的进步，让人有种来了就想走的想法，大风一吹、垃圾满天飞。我有个小建议，以下建议内容：一、卫生1、所有的行政、事业及想关单位，实行单位自已负责自已周边环境卫生，定期进行查检，查检不合格的可以进行一定力度的罚款，列入年度目标考核，同时相互监督和进行电话举报（市政管理公开举报电话：*******）。2、对于街道，实行门前三包，店面到街边（包含绿化地段）由店面负责。人行道上的垃圾多数都是店内带出和过往行人丢弃的，要做到不脏不乱，交通工具摆放整齐，定期进行查检，查检不合格的可以进行一定力度的罚款。同时相互监督，可进行电话举报（市政管理公开举报电话：*******）。3、公共场所及街道由所属环卫工人负责，定期进行查检。列入年度目标考核，同时相互监督，可进行电话举报（市政管理公开举报电话：*******）。4、独栋住宿及小区卫生由环卫工人及物业管理负责，同时相互监督，查检不合格进行一定力度的罚款，可进行电话举报（市政管理公开举报电话：*******）。5、实现城外垃圾不进城，城内垃圾不乱倒。对全县派发宣传单，让全县每个市民既是实行者又是监督者，二、乱建乱搭乱建乱搭占用公共场所和消防通道。有的住户和商铺商家为了增加住宿和营业面积私建私搭，有的还在绿化地带养鸡养鸭。1、对县城内所有不合法的乱建乱搭进行强制性拆除。还市民一个合理的生存空间。同时相互监督，不合格的进行一定力度的罚款，可进行电话举报（城建管理局公开举报电话：*******）。2、对全县绿化带进行补救和补植。希望省委省政府及相关单位给我们一个新的生存环境、还鱼米之乡的美誉。"
3618495,"我是东华理工大学长江学院05级学生，陶裕虎。我09年12月份响应国家号召做为毕业的大学生入伍。按国家规定，国家对服义务兵役的毕业生每学年补偿学费或代偿国家助学贷款本息的金额，最高不超过6000元；毕业生在校期间每学年实际缴纳的学费或获得的国家助学贷款本息高于6000元的，按照每年6000元的金额实行补偿或者代偿；高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本息低于6000元的，按照学费和国家助学贷款本息两者就高的原则，实行补偿或代偿。可是我每年的6000元补偿一直没有发。请书苏记百忙之中关注一下。"
3618497,"苏荣书记：您好！我是临川区林业局的一个工人，我说的是这次改制安置补偿标准。现林业局给每个工人安置补偿费。前十年工龄五百元后面工龄三百元买断工龄。我们林业局有山有林又没有破产。我们在职的职工工资平均在一千元以上。在改制职工会议上。我们要求安劳动法改制没得答复，改制领导说标准安上级指示办理的。我们想知道在2010改制补偿是什么标准。一个困难职工的心声。(一个困难工人的心声)"
3618499,"尊敬的苏荣书记：您好！有个向赣州市王平市长反映过多次至今没解决，希望您能过问一下使问题得到解决：南康市章惠渠水电站2007年7月份前拖欠职工工资人均在万元左右至今未补发一分钱。2010年电站发电量720多万度（自建电站以来年发电量一般是五百万度左右），是建电站有史以来发电量排第三，平均出售单位电价为0.4元/度左右；另外电站有众多场房场地出租。电站的总收入在三百万元以上。现有上班在职人员为43人，每月发放工资人均不足一千六百元（本人三十多年工龄月工资一千四百元，加上夜班费和其他补贴，每月能领到手的工资总计一千七百元），完全有能力补发职工部分拖欠工资。以此让电站国有资产变形进入某些人腰包，还不如把我们电站拍卖呢？"
3618503,"苏书记您好！我现向您反映一起宜春市上高县一局退休干部利用关系强占农村山林的事情。该退休干部趁农村正在进行林权改革之际，利用关系从上高县新界埠乡端溪邹家村----其祖籍地（其父于1943年迁移外地，那时他尚未出生）得到一农村山林近五十亩，村民认为侵犯了本村村民的利益，上访将情况反映至村，乡，县各级政府主管部门，却一直不见任何音讯，现将情况反映给书记您，希望您能给我们这些可怜的农村老表做主，我们给您磕头了！！！！"
