"","tree.ID","forest","habitat","dbh.in","height.ft","age"
"369",59,4,3,1.6,10.8,9
"370",60,3,5,18,91.6,69
"371",60,3,5,15.4,81.2,59
"372",60,3,5,12.8,70.4,49
"373",60,3,5,10.1,55.2,39
"374",60,3,5,7.3,38.1,29
"375",60,3,5,4.1,21.4,19
"376",60,3,5,1.5,10.4,9
"377",61,3,1,26.6,160.3,130
"378",61,3,1,25,154.8,120
"379",61,3,1,23.9,147.3,110
"380",61,3,1,22.9,139.8,100
"381",61,3,1,21.6,132.8,90
"382",61,3,1,20,120.2,80
"383",61,3,1,18.5,111.5,70
"384",61,3,1,16.5,100.1,60
"385",61,3,1,14,84.2,50
"386",61,3,1,11.1,65.2,40
"387",61,3,1,8,44.9,30
"388",61,3,1,5.4,27,20
"389",61,3,1,2.3,14.8,10
"390",62,6,5,21.3,139.9,135
"391",62,6,5,20.2,134.1,125
"392",62,6,5,19.1,127.7,115
"393",62,6,5,18,120.1,105
"394",62,6,5,16.9,115.2,95
"395",62,6,5,15.6,108.7,85
"396",62,6,5,14.8,104.8,75
"397",62,6,5,13.3,97.6,65
"398",62,6,5,11.3,80.6,55
"399",62,6,5,9.2,71.2,45
"400",62,6,5,6.7,50.8,35
"401",62,6,5,3.9,28.8,25
"402",62,6,5,1.7,13.7,15
"403",63,7,4,13.9,85.2,67
"404",63,7,4,12.4,75.1,57
"405",63,7,4,10.6,62.1,47
"406",63,7,4,8.1,46.3,37
"407",63,7,4,5.8,31,27
"408",63,7,4,3.4,17.5,17
"409",64,6,1,17.4,122.2,95
"410",64,6,1,16,111.7,85
"411",64,6,1,14.9,100.8,75
"412",64,6,1,13.4,92.6,65
"413",64,6,1,11.7,84,55
"414",64,6,1,8.6,67.7,45
"415",64,6,1,6.8,48.4,35
"416",64,6,1,4,30.6,25
"417",64,6,1,2.1,16,15
"418",65,1,2,27.5,144.8,132
"419",65,1,2,26.1,139.2,122
"420",65,1,2,24.8,133.4,112
"421",65,1,2,23,128.4,102
"422",65,1,2,21.3,121.6,92
"423",65,1,2,19.8,113.5,82
"424",65,1,2,17.7,105.9,72
"425",65,1,2,15.1,94.8,62
"426",65,1,2,11.9,70.7,52
"427",65,1,2,9,41,42
"428",65,1,2,5.3,26.1,32
"429",65,1,2,2.8,16.3,22
"430",65,1,2,1.5,10.5,12
"431",66,8,4,20.8,104,87
"432",66,8,4,17.7,94.6,77
"433",66,8,4,15.6,85.9,67
"434",66,8,4,13.2,80.3,57
"435",66,8,4,10.5,75.3,47
"436",66,8,4,7.5,52.5,37
"437",66,8,4,4.8,33.3,27
"438",66,8,4,2.9,19.8,17
"439",67,8,4,12.9,84.1,87
"440",67,8,4,11.3,77.5,77
"441",67,8,4,9.8,68.8,67
"442",67,8,4,8.7,59.2,57
"443",67,8,4,7.4,45.4,47
"444",67,8,4,5.7,30.5,37
"445",67,8,4,4,21.7,27
"446",67,8,4,2.4,13.8,17
"447",68,7,4,27,147.7,124
"448",68,7,4,25.6,139.6,114
"449",68,7,4,23,127.7,104
"450",68,7,4,20.2,116.2,94
"451",68,7,4,17.4,98.8,84
"452",68,7,4,13.6,70.4,74
"453",68,7,4,11.7,69.1,64
"454",68,7,4,8.7,47.2,54
"455",68,7,4,6.1,29.1,44
"456",68,7,4,3.2,14.8,34
"457",69,7,5,16.4,94.3,70
"458",69,7,5,14.4,84.2,60
"459",69,7,5,12.2,68.8,50
"460",69,7,5,9.5,51,40
"461",69,7,5,6.7,33.2,30
"462",69,7,5,3.7,17.4,20
"463",70,7,5,16.8,103.5,58
"464",70,7,5,15.2,96.2,48
"465",70,7,5,12.8,79,38
"466",70,7,5,9.8,57,28
"467",70,7,5,6.8,34.2,18
"468",71,7,4,24,108.1,128
"469",71,7,4,23,102,118
"470",71,7,4,21.7,92,108
"471",71,7,4,19.3,82.7,98
"472",71,7,4,16.7,69,88
"473",71,7,4,13.1,55.6,78
"474",71,7,4,10.4,42.5,68
"475",71,7,4,7.6,30.9,58
"476",71,7,4,5.8,21.4,48
"477",71,7,4,3.5,16.9,38
"478",72,7,4,30.2,157.5,114
"479",72,7,4,28.3,153.3,104
"480",72,7,4,25.6,146.8,94
"481",72,7,4,23,140.1,84
"482",72,7,4,20.3,126.6,74
"483",72,7,4,16.6,105.8,64
"484",72,7,4,12.5,85.4,54
"485",72,7,4,8.3,57.3,44
"486",72,7,4,4.1,29.3,34
"487",72,7,4,2.2,16.8,24
"488",72,7,4,1,6.8,14
"489",73,7,4,17.7,102.9,48
"490",73,7,4,14.6,87.7,38
"491",73,7,4,9.7,66.7,28
"492",73,7,4,5.4,40.6,18
"493",74,5,4,16.9,120.3,63
"494",74,5,4,13.9,105.3,53
"495",74,5,4,10.6,80.8,43
"496",74,5,4,7.8,60.2,33
"497",74,5,4,4.5,31.5,23
"498",74,5,4,2.1,15.4,13
"499",75,5,4,14.1,93.4,64
"500",75,5,4,11.2,82.3,54
"501",75,5,4,9.5,71.7,44
"502",75,5,4,7.7,60.8,34
"503",75,5,4,5.6,47.3,24
"504",75,5,4,3.3,27.4,14
"505",76,5,4,12,69.1,53
"506",76,5,4,10.8,60.1,43
"507",76,5,4,9,49.4,33
"508",76,5,4,7.2,37.6,23
"509",76,5,4,4.4,23.7,13
"510",77,3,3,19.7,140.7,112
"511",77,3,3,17.6,134.7,102
"512",77,3,3,15.5,126.5,92
"513",77,3,3,13.9,117.2,82
"514",77,3,3,12.1,108.4,72
"515",77,3,3,9.9,91.5,62
"516",77,3,3,7.9,78.2,52
"517",77,3,3,6.2,61,42
"518",77,3,3,4.7,46.5,32
"519",77,3,3,3.2,27.9,22
"520",77,3,3,1.7,13.4,12
"521",84,7,5,23,110.3,142
"522",84,7,5,20.5,99.3,122
"523",84,7,5,21.8,105.9,132
"524",84,7,5,18.9,92.5,112
"525",84,7,5,17.2,84.4,102
"526",84,7,5,15,77.9,92
"527",84,7,5,13.5,74.8,82
"528",84,7,5,11.4,62.3,72
"529",84,7,5,8.7,48.2,62
"530",84,7,5,6.9,32.8,52
"531",84,7,5,5.7,19.5,42
"532",85,8,4,23.1,124.2,118
"533",85,8,4,21.7,119.1,108
"534",85,8,4,20.2,113.5,98
"535",85,8,4,19.1,110.6,88
"536",85,8,4,17.3,104.5,78
"537",85,8,4,14.3,97.7,68
"538",85,8,4,12.5,95.1,58
"539",85,8,4,9.8,84.4,48
"540",85,8,4,6.9,60.1,38
"541",85,8,4,4.6,36.9,28
"542",85,8,4,2.6,20.3,18
